Company Name,Industry,Symbol,Series,Type,SymbolNS
ICICI Prudential NIFTY ETF,NIFTY 50 Index,INIFTY,ETF,ETF - Equity,INIFTY.NS
Kotak NIFTY ETF,NIFTY 50 Index,KOTAKNIFTY,ETF,ETF - Equity,KOTAKNIFTY.NS
MOSt Shares M50,NIFTY 50 Index,M50,ETF,ETF - Equity,M50.NS
Quantum Index Fund - Growth,NIFTY 50 Index,QNIFTY,ETF,ETF - Equity,QNIFTY.NS
Religare Invesco NIFTY ETF,NIFTY 50 Index,RELGRNIFTY,ETF,ETF - Equity,RELGRNIFTY.NS
SBI ETF NIFTY,NIFTY 50 Index,SETFNIFTY,ETF,ETF - Equity,SETFNIFTY.NS
UTI NIFTY ETF,NIFTY 50 Index,UTINIFTETF,ETF,ETF - Equity,UTINIFTETF.NS
Birla Sun Life NIFTY ETF,NIFTY 50  Index,BSLNIFTY,ETF,ETF - Equity,BSLNIFTY.NS
ICICI Prudential CNX 100 ETF,NIFTY 100,ICNX100,ETF,ETF - Equity,ICNX100.NS
Kotak Banking ETF,NIFTY Bank,KOTAKBKETF,ETF,ETF - Equity,KOTAKBKETF.NS
SBI ETF Banking,NIFTY Bank,SETFBANK,ETF,ETF - Equity,SETFBANK.NS
MOSt Shares M100,NIFTY Midcap 100,M100,ETF,ETF - Equity,M100.NS
SBI ETF NIFTY Junior,NIFTY Next 50,SETFNIFJR,ETF,ETF - Equity,SETFNIFJR.NS
Kotak PSU Bank ETF,NIFTY PSU BANK,KOTAKPSUBK,ETF,ETF - Equity,KOTAKPSUBK.NS
ICICI SENSEX Prudential Exchange Traded Fund,S&P BSE Sensex,ISENSEX,ETF,ETF - Equity,ISENSEX.NS
UTI Sensex ETF,S&P BSE Sensex,UTISENSETF,ETF,ETF - Equity,UTISENSETF.NS
Reliance ETF NIFTY BeES,NIFTY 50 Index,NIFTYBEES,ETF,ETF - Common,NIFTYBEES.NS
Reliance ETF NIFTY 100,NIFTY 100,RELCNX100,ETF,ETF - Common,RELCNX100.NS
Reliance ETF Bank BeES,NIFTY Bank,BANKBEES,ETF,ETF - Common,BANKBEES.NS
CPSE ETF,NIFTY CPSE Index,CPSEETF,ETF,ETF - Common,CPSEETF.NS
Reliance ETF Dividend Opportunities,NIFTY Dividend Opportunities 50,RELDIVOPP,ETF,ETF - Common,RELDIVOPP.NS
Reliance ETF Consumption,NIFTY India Consumption,RELCONS,ETF,ETF - Common,RELCONS.NS
Reliance ETF Infra BeES,NIFTY Infrastructure,INFRABEES,ETF,ETF - Common,INFRABEES.NS
Reliance ETF Junior BeES,NIFTY Next 50,JUNIORBEES,ETF,ETF - Common,JUNIORBEES.NS
Reliance ETF PSU Bank BeES,NIFTY PSU BANK,PSUBNKBEES,ETF,ETF - Common,PSUBNKBEES.NS
BHARAT 22 ETF,S&P BSE BHARAT 22 index,BHARATIWIN,ETF,ETF - Common,BHARATIWIN.NS
Axis Gold ETF,Gold,AXISGOLD,ETF,ETF- Gold,AXISGOLD.NS
Birla Sun Life Gold ETF,Gold,BSLGOLDETF,ETF,ETF- Gold,BSLGOLDETF.NS
Canara Robeco Gold ETF,Gold,CANGOLD,ETF,ETF- Gold,CANGOLD.NS
HDFC Gold Exchange Traded Fund,Gold,HDFCMFGETF,ETF,ETF- Gold,HDFCMFGETF.NS
ICICI Prudential Gold Exchange Traded Fund,Gold,IPGETF,ETF,ETF- Gold,IPGETF.NS
IDBI Gold ETF,Gold,IDBIGOLD,ETF,ETF- Gold,IDBIGOLD.NS
Kotak Gold Exchange Traded Fund,Gold,KOTAKGOLD,ETF,ETF- Gold,KOTAKGOLD.NS
Quantum Gold Fund (an ETF),Gold,QGOLDHALF,ETF,ETF- Gold,QGOLDHALF.NS
Reliance Gold Exchange Traded Fund,Gold,RELGOLD,ETF,ETF- Gold,RELGOLD.NS
Religare Gold Exchange Traded Fund,Gold,RELIGAREGO,ETF,ETF- Gold,RELIGAREGO.NS
SBI Gold Exchange Traded Scheme,Gold,SBIGETS,ETF,ETF- Gold,SBIGETS.NS
UTI GOLD Exchange Traded Fund,Gold,GOLDSHARE,ETF,ETF- Gold,GOLDSHARE.NS
Reliance ETF Shariah BeES,NIFTY50 Shariah Index,SHARIABEES,ETF,ETF - Common,SHARIABEES.NS
Reliance ETF NV20,NIFTY50 Value 20 Index,RELNV20,ETF,ETF - Common,RELNV20.NS
Reliance ETF Hang Seng BeES,HangSeng,HNGSNGBEES,ETF,ETF - Common,HNGSNGBEES.NS
Reliance ETF Liquid BeES,NIFTY 1 D rate Index,LIQUIDBEES,ETF,ETF - Common,LIQUIDBEES.NS
Reliance ETF Long Term Gilt,NIFTY 4-8 yr G-Sec Index,RRSLGETF,ETF,ETF - Common,RRSLGETF.NS
Reliance ETF Gold BeES,Gold,GOLDBEES,ETF,ETF - Common,GOLDBEES.NS
MOSt Shares NASDAQ 100,Nasdaq 100,N100,ETF,ETF- World,N100.NS
LIC Nomura MF G-Sec Long Term ETF - Reg - Growth,Nifty 8-13 yr G-Sec Index,LICNMFET,ETF,ETF- Debt,LICNMFET.NS
